"Title","2010 Population","Incorporated Cities or Towns"
"Putnam","72321","Algood (3495), Baxter (1365), Cookeville (31154), Monterey (2850)"
"Rhea","31809","Dayton (7191), Graysville (1502), Spring City (1981)"
"Roane","54181","Harriman (6350), Kingston (5934), Oak Ridge (29330), Oliver Springs (3231), Rockwood (5562)"
"Robertson","66283","Adams (633), Cedar Hill (314), Coopertown (4278), Cross Plains (1714), Greenbrier (6433), Millersville (6440), Orlinda (859), Ridgetop (2054), Springfield (16440), White House (11600)"
"Rutherford","262604","Eagleville (604), LaVergne (32588), Murfreesboro (109031), Smyrna (47521)"
"Scott","22228","Huntsville (1583), Oneida (3752), Winfield (1045)"
"Sequatchie","14112","Dunlap (4815)"
"Sevier","89889","Gatlinburg (3944), Pigeon Forge (5875), Pittman Center (502), Sevierville (14807)"
"Shelby","927644","Arlington (12090), Bartlett (56488), Collierville (45550), Germantown (40123), Lakeland (12430), Memphis (646889), Millington (11132)"
"Smith","19166","Carthage (2306), Gordonsville (1213), South Carthage (1322)"
"Stewart","13324","Cumberland City (311), Dover (1417), Tennessee Ridge (1368)"
"Sullivan","156823","Bluff City (1733), Bristol (26702), Johnson City (63152), Kingsport (51274)"
"Sumner","160645","Gallatin (34473), Goodlettsville (15921), Hendersonville (51372), Millersville (6440), Mitchellville (189), Portland (11480), Westmoreland (2206), White House (11600)"
"Tipton","61081","Atoka (9474), Brighton (2735), Burlison (425), Covington (9038), Garland (310), Gilt Edge (477), Mason (1609), Munford (6110)"
"Trousdale","7870","Hartsville/Trousdale Co. (2369)"
"Unicoi","18313","Erwin (6097), Unicoi (3632)"
"Union","19109","Luttrell (1074), Maynardville (2413), Plainview (2125)"
"Van Buren","5548","Spencer (1601)"
"Warren","39839","Centertown (243), McMinnville (13605), Morrison (694), Viola (131)"
"Washington","122979","Johnson City (63152), Jonesborough (5051), Watauga (458)"
"Wayne","17021","Clifton (2694), Collinwood (982), Waynesboro (2449)"
"Weakley","35021","Dresden (3005), Gleason (1445), Greenfield (2182), Martin (11473), McKenzie (5310), Sharon (944)"
"White","25841","Doyle (537), Sparta (5071)"
"Williamson","183182","Brentwood (40401), Fairview (8002), Franklin (70908), Nolensville (7936), Spring Hill (36530), Thompson's Station (4726)"
"Wilson","113993","Lebanon (32732), Mt. Juliet (28159), Watertown (1477)"
